t (s),V (mV)
0,8.124
0.969,8.1226
1.901,8.1208
2.864,8.117
3.83,8.111
4.829,8.1025
5.829,8.0934
6.829,8.0843
7.83,8.0744
8.829,8.0638
9.83,8.0553
10.829,8.0445
11.83,8.0337
12.83,8.0238
13.83,8.0127
14.829,8.0028
15.829,7.9917
16.83,7.9822
17.829,7.971
18.829,7.9614
19.829,7.9516
20.829,7.9392
21.829,7.9289
22.83,7.9184
23.83,7.9077
24.829,7.8977
25.83,7.8874
26.83,7.8773
27.83,7.8672
28.829,7.8568
29.83,7.8467
30.829,7.8376
31.829,7.8277
32.83,7.818
33.829,7.8081
34.83,7.7986
35.829,7.789
36.829,7.7792
37.83,7.7695
38.829,7.7595
39.829,7.75
40.829,7.7409
41.829,7.7312
42.83,7.7219
43.829,7.713
44.829,7.7028
45.829,7.6934
46.83,7.7022
47.829,7.699
48.83,7.6892
49.83,7.6795
50.829,7.6694
51.83,7.6598
52.829,7.6501
53.83,7.6395
54.83,7.6305
55.83,7.6206
56.83,7.611
57.829,7.6017
58.83,7.5924
59.829,7.5834
60.829,7.5743
61.829,7.5649
62.829,7.5565
63.83,7.5466
64.829,7.538
65.829,7.5293
66.83,7.5202
67.829,7.5104
68.83,7.5024
69.829,7.4937
70.829,7.4841
71.829,7.4748
72.829,7.4659
73.83,7.4567
74.829,7.4478
75.829,7.4389
76.829,7.4296
77.83,7.4205
78.83,7.4112
79.829,7.4018
80.83,7.3928
81.83,7.3859
82.829,7.3777
83.83,7.3691
84.829,7.3606
85.83,7.3504
86.829,7.3422
87.829,7.3336
88.83,7.3243
89.83,7.3154
90.83,7.3073
91.83,7.2989
92.83,7.2896
93.83,7.2816
94.83,7.2585
95.83,7.2612
96.83,7.2568
97.83,7.2484
98.83,7.2398
99.83,7.2321
100.83,7.2232
101.829,7.2145
102.83,7.2068
103.83,7.1973
104.829,7.1892
105.829,7.1819
106.829,7.173
107.829,7.1642
108.83,7.1567
109.829,7.1483
110.829,7.1411
111.829,7.1327
112.83,7.1241
113.829,7.1157
114.829,7.1079
115.829,7.0979
116.83,7.0892
117.834,7.0812
118.83,7.0699
119.83,7.065
120.829,7.058
121.829,7.0485
122.83,7.04
123.83,7.0428
124.829,7.0346
125.83,7.0286
126.829,7.0207
127.83,7.0127
128.83,7.0047
129.83,6.9965
130.83,6.9876
131.829,6.9803
132.83,6.9728
133.829,6.9636
134.83,6.9568
135.83,6.9478
136.829,6.9401
137.83,6.9319
138.829,6.9233
139.83,6.915
140.829,6.9075
141.829,6.899
142.829,6.8927
143.83,6.8845
144.829,6.8762
145.829,6.8685
146.829,6.8604
147.83,6.8523
148.83,6.8449
149.83,6.8374
150.83,6.8294
151.83,6.8216
152.83,6.8141
153.829,6.806
154.83,6.799
155.83,6.791
156.83,6.783
157.829,6.7767
158.83,6.7684
159.829,6.7606
